class	class_label	synonyms	GARD	NCIT	OMIM	DOID	Orphanet	is_gard_rare	is_mondo_rare	is_rare	is_leaf
MONDO:0008454	spinal intradural arachnoid cysts	spinal intradural arachnoid cysts|arachnoid cysts, spinal intradural	GARD:0009701		OMIM:182990			True	True	True	True
MONDO:0013138	BRV2	vertigo, benign recurrent, 2; BRV2|BRV2|vertigo, benign recurrent, 2			OMIM:613106			False	True	True	True
MONDO:0009717	Schwartz-Jampel syndrome	Schwartz-Jampel syndrome, type 1; SJS1|Schwartz-Jampel syndrome, type 1|Catel-Hempel type dysostosis enchondralis metaepiphysaria|Schwartz-Jampel-Aberfeld syndrome|myotonic myopathy, dwarfism, chondrodystrophy, and ocular and Facial abnormalities|Osteochondromuscular dystrophy|Schwartz-Jampel syndrome|Schwartz-Jampel syndrome 1|burton syndrome|Aberfeld syndrome|Catel-Hempel syndrome|osteochondromuscular dystrophy|myotonic myopathy dwarfism chondrodystrophy and ocular and facial abnormalities|burton skeletal dysplasia|SJS|dysostosis enchondralis metaepiphysaria, Catel-Hempel type|myotonic chondrodystrophy|Sja syndrome|Schwartz-Jampel syndrome type 1|SJS1|myotonic myopathy, dwarfism, chondrodystrophy, ocular and facial anomalies|Chondrodystrophic myotonia|Schwartz Jampel Aberfeld syndrome|Schwartz Jampel syndrome	GARD:0000250	NCIT:C35008	OMIM:255800	DOID:0090005	Orphanet:800	False	True	True	True
MONDO:0017466	congenital pseudoarthrosis of the ulna	congenital pseudarthrosis of the ulna					Orphanet:295026	False	True	True	True
MONDO:0011766	46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome	46,XY gonadal dysgenesis, partial, with MINIFASCICULAR neuropathy			OMIM:607080		Orphanet:168563	False	True	True	True
MONDO:0008108	oculocerebrocutaneous syndrome	oculocerebrocutaneous syndrome|orbital cyst with cerebral and focal dermal malformations|OCCS|oculo-cerebro-cutaneous syndrome|Delleman-Oorthuys syndrome|Leichtman-Wood-Rohn syndrome|OCC syndrome|Delleman Oorthuys syndrome|Delleman syndrome	GARD:0000106		OMIM:164180		Orphanet:1647	True	True	True	True
MONDO:0011059	holoprosencephaly-craniosynostosis syndrome	Genoa syndrome|camera Lituania Cohen syndrome|holoprosencephaly craniosynostosis|Camero-Lituania-Cohen syndrome|Semilobar holoprosencephaly and primary craniosynostosis|holoprosencephaly, SEMILOBAR, with craniosynostosis	GARD:0002454		OMIM:601370		Orphanet:2163	False	True	True	True
MONDO:0014486	intellectual disability, autosomal dominant 30	autosomal dominant intellectual disability 30|mental retardation, autosomal dominant type 30|mental retardation, autosomal dominant 30; MRD30|MRD30|autosomal dominant non-syndromic intellectual disability 30|intellectual disability-expressive aphasia-facial dysmorphism syndrome caused by mutation in ZMYND11|ZMYND11 intellectual disability-expressive aphasia-facial dysmorphism syndrome|mental retardation, autosomal dominant 30|autosomal dominant mental retardation 30	GARD:0013136		OMIM:616083	DOID:0070060		False	True	True	True
MONDO:0014701	spondyloepiphyseal dysplasia, Stanescu type	spondyloepiphyseal dysplasia, Stanescu type; SEDSTN|spondyloepiphyseal dysplasia, Stanescu type|SEDSTN|SED, Stanescu type			OMIM:616583		Orphanet:459051	False	True	True	True
MONDO:0017552	humero-ulnar synostosis, unilateral	humero-ulnar fusion, unilateral					Orphanet:295213	False	True	True	True
MONDO:0010749	trigonocephaly-short stature-developmental delay syndrome	Say Meyer syndrome|Say-Meyer syndrome|trigonocephaly with short stature and developmental delay|trigonocephaly, short stature, and retarded psychomotor development|trigonocephaly, short stature and developmental delay	GARD:0000243		OMIM:314320		Orphanet:3369	False	True	True	True
MONDO:0010828	retinitis pigmentosa 11	PRPF31 retinitis pigmentosa|retinitis pigmentosa caused by mutation in PRPF31|RP11|retinitis pigmentosa 11; RP11|retinitis pigmentosa type 11|retinitis pigmentosa 11|RP 11	GARD:0010383		OMIM:600138	DOID:0110408		True	True	True	True
MONDO:0016546	primary orthostatic tremor	pot|orthostatic tremor, primary|shaky leg syndrome|OT	GARD:0008563				Orphanet:238606	True	True	True	True
MONDO:0012500	chilblain lupus 1	chilblain lupus 1|chilblain lupus 1; CHBL1|TREX1 chilblain lupus|chilblain lupus caused by mutation in TREX1|CHBL1|chilblain lupus type 1			OMIM:610448			False	True	True	True
MONDO:0016776	frontal fibrosing alopecia	FFA	GARD:0010886				Orphanet:254492	True	True	True	True
MONDO:0014266	age related macular degeneration 15	macular degeneration, age-related, 15|C9 age-related macular degeneration|ARMD15|macular Degeneration, age-related, type 15|age-related macular degeneration caused by mutation in C9|age related macular degeneration type 15|macular degeneration, age-related, 15; ARMD15			OMIM:615591	DOID:0110027		False	True	True	True
MONDO:0016842	paternal 20q13.2q13.3 microdeletion syndrome	paternal del(20)(q13.2q13.3)|paternal monosomy 20q13.2-q13.3|paternal 20q13.2-q13.3 microdeletion syndrome|paternal monosomy 20q13.2q13.3					Orphanet:261304	False	True	True	True
MONDO:0015663	diencephalic syndrome	diencephalic syndrome of emaciation|Russell diencephalic cachexia|diencephalic cachexia|Russell syndrome|diencephalic syndrome of infancy|diencephalic syndrome of childhood	GARD:0006276	NCIT:C116955			Orphanet:1672	True	True	True	True
MONDO:0013823	autosomal dominant nonsyndromic deafness 4B	autosomal dominant nonsyndromic deafness caused by mutation in CEACAM16|deafness, autosomal dominant 4B|deafness, autosomal dominant type 4B|autosomal dominant deafness 4B|DFNA4B|deafness, autosomal dominant 4B; DFNA4B|CEACAM16 autosomal dominant nonsyndromic deafness|autosomal dominant nonsyndromic deafness type 4B			OMIM:614614	DOID:0110574		False	True	True	True
MONDO:0008972	rhizomelic chondrodysplasia punctata type 1	chondrodysplasia punctata, rhizomelic form|rhizomelic chondrodysplasia punctata, type 1; RCDP1|rhizomelic chondrodysplasia punctata, type 1|Rcdp1|chondrodystrophia calcificans punctata|PEX7 rhizomelic chondrodysplasia punctata|rhizomelic chondrodysplasia punctata caused by mutation in PEX7|RCDP1|Pbd9|peroxisome biogenesis disorder 9	GARD:0006049		OMIM:215100	DOID:0110851	Orphanet:309789	True	True	True	True
MONDO:0016478	Beckwith-Wiedemann syndrome due to 11p15 translocation/inversion						Orphanet:231130	False	True	True	True
MONDO:0001388	glans penis cancer	malignant glans penis neoplasm|malignant neoplasm of glans penis|malignant tumor of glans penis|cancer of glans penis|malignant tumour of glans penis|glans penis cancer				DOID:11839		False	True	True	True
MONDO:0005418	non-compaction cardiomyopathy							False	True	True	True
MONDO:0023235	giant congenital nevus	giant hairy nevus|congenital hairy nevus|giant pigmented Nevus of skin|giant pigmented Nevus of the skin|giant congenital melanocytic nevus|bathing trunk Nevus|giant pigmented hairy nevus|congenital giant pigmented nevus|giant congenital Nevus|bathing trunk nevus|large congenital melanocytic nevus|GPHN|giant pigmented nevus	GARD:0002469	NCIT:C4234				True	False	True	True
MONDO:0001645	crescentic glomerulonephritis (disease)	crescentic glomerulonephritis		NCIT:C35444		DOID:13139		False	True	True	True
MONDO:0013781	pseudohypoaldosteronism type 2D	pseudohypoaldosteronism, type IID|PHA2D|KLHL3 pseudohypoaldosteronism type 2|familial hyperkalemic hypertension|pseudohypoaldosteronism type 2 caused by mutation in KLHL3|pseudohypoaldosteronism, type IID; PHA2D|pseudohypoaldosteronism, type 2D			OMIM:614495		Orphanet:300525	False	True	True	True
